,Title,Published_date,Views,Likes,Comments,Month
355,F1 Car v BMW M1000 RR Superbike v 911 Turbo S: DRAG RACE,2021-08-28,5834792,168429,7970,Aug
754,BMW M4 v AMG C63 S vs Lexus RC F v old M3 & C63: DRAG RACE,2020-03-28,5807457,105601,7025,Mar
682,Porsche 911 Turbo S vs McLaren 720S: DRAG RACE,2020-07-25,5715375,156078,13367,Jul
88,THIS is the coolest diffuser in the world 🌎 🤤,2022-06-19,5681971,219833,4052,Jun
570,Mercedes S-Class 2021 review - the best car EVER?,2020-12-15,5642162,92377,10193,Dec
898,"Lamborghini Aventador SV v Huracan Performante  - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-08-10,5590726,102166,5780,Aug
1195,New Mercedes A-Class 2020 REVIEW - see why it's a game changer,2018-04-18,5575389,48219,3552,Apr
418,Audi TT RS (1100hp) v R8 (1200hp) v 911 Turbo (1100hp) : DRAG RACE,2021-06-19,5536154,168401,8426,Jun
510,Supra DRAG RACE: 3.0 v 2.0 v Mk4!,2021-02-27,5453348,157510,13139,Feb
618,Rolls-Royce Wraith vs Bentley GT: DRAG RACE!,2020-10-17,5426880,160539,6087,Oct
1057,"Lexus LFA vs Lexus LC500 - DRAG RACE, ROLLING RACE & BRAKE TEST",2018-12-15,5424701,90397,5819,Dec
851,Bentley Flying Spur 2020 in-depth REVIEW - see why it’s the best luxury car ever!,2019-10-16,5333473,71497,3287,Oct
603,"Rolls-Royce Ghost 2021 review - see why this car is worth £370,000",2020-11-06,5206922,86573,5439,Nov
1307,"BMW M760Li vs Skoda Superb 280 DRAG RACE, OVERTAKE, BRAKE & LUXURY challenge | Expensive vs Cheap",2017-11-11,5204543,43326,3461,Nov
314,Bugatti Chiron Super Sport review - how fast can I drive it on the Autobahn?,2021-10-15,5204018,175758,9058,Oct
934,Audi R8 generations 2006-2019: DRAG RACE,2019-06-15,5195552,103772,2963,Jun
1196,"Mercedes-AMG S63 vs BMW M760 - DRAG RACE, ROLLING RACE & BRAKE TEST | Head-to-Head",2018-04-14,5065084,62528,4051,Apr
777,The MOST luxurious 4x4 ever created - see why!,2020-02-14,5051875,93480,3904,Feb
1001,Best new cars coming 2020-2021: my A-Z guide of the Geneva Motor Show | carwow,2019-03-10,5050950,49187,5086,Mar
708,Audi RS7 vs AMG GT 63S 4-Door: DRAG RACE,2020-06-20,5003584,119292,7410,Jun
1053,"BMW M5 Competition vs Mercedes-AMG E 63 S - DRAG RACE, ROLLING RACE & BRAKE TEST",2018-12-22,4963495,72177,7747,Dec
711,Porsche 911 Turbo S 2021 review - see how quick it REALLY is to 60mph!,2020-06-16,4958524,84084,5093,Jun
460,Mercedes S-Class v BMW 7 Series v Audi A8 review - which is best?,2021-04-27,4951057,103158,8135,Apr
1019,"Nissan GT-R vs Porsche 911 Turbo vs BMW M5 Comp - £100K DRAG RACE, ROLLING RACE & BRAKE TEST",2019-02-16,4945472,79333,5408,Feb
584,Toyota GR Yaris v Honda Civic Type R - DRAG RACE,2020-11-28,4906858,96119,5948,Nov
468,Audi RS6 generations DRAG RACE,2021-04-17,4904647,100868,4973,Apr
330,Lambo Urus v Porsche Turbo GT v BMW X6M v Tesla Model X v Jeep Trackhawk: DRAG RACE,2021-09-25,4900325,142238,8702,Sep
887,AMG G63 vs Bentley Bentayga Speed & Porsche Cayenne Turbo - TUG OF WAR!,2019-08-25,4895830,83696,3810,Aug
390,Buying my mom an electric car... But which will she choose?,2021-07-21,4848386,154613,11074,Jul
1130,"Tesla Model S P100D vs Mclaren 720S DRAG RACE, ROLLING RACE & BRAKE TEST | Mat vs Shmee pt 4/4",2018-08-12,4831707,71270,5772,Aug
1065,"Mercedes X-Class vs VW Amarok vs Hilux vs Ranger vs L200  - DRAG RACE, ROLLING RACE & BRAKE TEST",2018-12-01,4825815,63323,5764,Dec
648,BMW M4 vs Audi RS5 vs Alfa Giulia Quadrifoglio: DRAG RACE,2020-09-05,4722130,103157,8266,Sep
539,BMW M5 1000hp v £1.15M Rallycross Racers: RACE...and EXPLOSION!,2021-01-23,4712269,148829,6590,Jan
361,1200hp Audi R8 v 1600hp GT-R v 1100hp McLaren 720S: DRAG RACE,2021-08-21,4694815,165965,7563,Aug
826,New Aston Martin DBX SUV 2020 - full exterior and interior review...and DOG TEST!,2019-11-20,4683816,72676,5948,Nov
504,GT-R NISMO v 911 Turbo S v R8 - DRAG RACE,2021-03-06,4678753,130332,8108,Mar
1288,"Mercedes-AMG E63 S vs Dacia Logan DRAG RACE, BRAKE AND COMFORT challenge | Expensive vs Cheap",2017-12-02,4672262,51705,6096,Dec
374,750hp Nissan Skyline R34 GT-R v 735hp Mustang v BMW M3: DRAG RACE,2021-08-07,4648032,151882,9742,Aug
728,Hummer H1 vs G63 + Jimny + L200: TUG OF WAR!,2020-05-16,4635122,119327,7884,May
1120,"i30N vs Type-R vs Megane RS vs Cupra R vs 308 GTi - DRAG RACE, ROLLING RACE, BRAKE TEST & REVIEW!",2018-09-01,4631287,46481,4309,Sep
842,"Toyota Supra v Ford Mustang V8 – DRAG RACE, ROLLING RACE & BRAKE TEST",2019-10-26,4626880,93206,6499,Oct
1127,"BMW M3 CS vs Audi RS4 - review & DRAG RACE, ROLLING RACE & BRAKE TEST",2018-08-18,4613313,53434,4679,Aug
551,Defender v Mercedes G350 v Wrangler - Up-hill DRAG RACE & Off-road BATTLE!,2021-01-08,4592621,98631,5883,Jan
718,I ran 3 cars with NO OIL until they DIED. Which lasted longest?,2020-06-03,4590336,90996,7920,Jun
629,Lamborghini Aventador SVJ vs Huracan Performante DRAG RACE,2020-10-03,4566111,147124,7131,Oct
